"","x"
"137","Monash University, Clayton, Victoria, Australia"
"138","Florida Atlantic University"
"139","Brigham Young University, Provo UT"
"140","University of California, San Francisco CA"
"141","Lawrence Berkeley National Lab, Berkeley CA"
"142","National Inst of Genetics, Mishima, Japan"
"143","University of Oxford, Oxford, England"
"144","Middlebury College, Middlebury VT"
"145","University of Nottingham, Derby England"
"146","Zhejiang University, Hangzhou, China"
"147","Coastal Carolina University, Conway, SC"
"148","Axys Pharmaceuticals, South San Francisco CA"
"149","Purdue University, West Lafayette IN"
"150","Exelixis Pharmaceuticals, San Francisco CA"
"151","University of Sasckatchewan, Saskatoon, Canada"
"152","Fondacion IDIBELL, Barcelona, Spain"
"153","University of Sao Paulo, Sao Paulo, Brazil"
"154","Calico Life Sciences, South San Francisco, CA"
"155","University of Florida, Gainsville, FL"
"156","UCLA, Los Angeles CA"
"157","King Abdullah University of Science and Technology, Jeddah, Saudi Arabia"
"158","Texas A&M University, College Station TX"
"159","CGC, University of Minnesota, MN"
"160","Northwestern University, Chicago IL"
"161","Children's Hospital Boston, Boston MA"
"162","State University of New York, Oswego NY"
"163","University College London, London UK"
"164","The UT Health Science Center at San Antonio, San Antonio, TX"
"165","FMLS, Frankfurt, Germany"
"166","Penn State University, University Park, PA"
"167","University of Washington, Seattle WA"
"168","University of Colorado, Boulder CO"
"169","University of Pittsburgh, Pittsburgh, PA"
"170","University of Glasgow, Glasgow, UK"
"171","Western Washington University, WA"
"172","National Taiwan University, Taipei, Taiwan"
"173","Ohio State University, Columbus OH"
"174","University of Cambridge, UK"
"175","University of Massachusetts Medical School, Worcester MA"
"176","Georgia State University, Atlanta GA"
"177","University of British Columbia, Vancouver, Canada"
"178","Siena College, Loudonville, NY"
"179","Zentrum fr Molekulare Biologie der Universitaet Heidelberg, Heidelberg, Germany"
"180","UC Irvine, CA 92697-2300 USA"
"181","Knudra Tech, Salt Lake City UT"
"182","University of Maryland, College Park MD"
"183","Princeton University, Princeton NJ"
"184","University of Pavia, Pavia, Italy"
"185","Princeton University, Princeton NJ"
"186","Albert Einstein College of Medicine, Bronx NY"
"187","Osaka University, Osaka, Japan"
"188","Departamento de Genetica,Edificio C-5 Gregor Mendel, 1 Planta, Campus de Rabanales, Universidad de Cordoba,14071 Cordoba. Spain"
"189","Queens College/CUNY, Flushing NY"
"190","Central South University, Changsha, China"
"191","Rutgers University, Piscataway NJ"
"192","Harvard University, Boston, MA"
"193","King's College London, London UK"
"194","University of Colorado, Boulder CO"
"195","Charles University, Prague, Czech Republic"
"196","Harvard Medical School, Cambrige MA"
"197","California State University Northridge, Northridge CA"
"198","Case Western Reserve University, Cleveland OH"
"199","University of California, San Francisco CA"
"200","National Institute on Aging, Baltimore MD"
"201","Cornell University; Ithaca NY, United States of America"
"202","University of California, San Diego, CA"
"203","VCU, Richmond VA"
"204","Universite de Fribourg, Fribourg, Switzerland"
"205","University of Buenos Aires, Argentina"
"206","Max Perutz Laboratories, Vienna, Austria"
"207","University of Otago, Dunedin, New Zealand"
"208","North Carolina State University, Raleigh NC"
"209","University of California, San Francisco, CA"
"210","DZNE, Tuebingen, Germany"
"211","Nanjing University, Nanjing, China"
"212","Daniel Yale University, New Haven CT"
"213","Illinois State University, Normal IL"
"214","St. John Fisher College, Rochester NY"
"215","National Institutes of Health, Bethesda, MD"
"216","The University of Nottingham, Nottingham, UK"
"217","Mt Sinai Hosp. Res. Inst., Toronto, Canada"
"218","Midwestern University, Glendale AZ"
"219","New York University, New York NY"
"220","University of Minnesota, Minneapolis, MN"
"221","Columbia University, New York NY"
"222","University of Hertfordshire, Hatfield, Hertfordshire, UK"
"223","Divergence Inc, St. Louis, MO"
"224","UT Southwestern Med Ctr, Dallas TX"
"225","The Colorado College, Colorado Springs, CO"
"226","Harvard University, Cambridge MA"
"227","East Carolina University, NC"
"228","NAIST, Tsukuba, Japan"
"229","National Institute of Genetics, Mishima, Japan"
"230","Novartis Institutes for Biological Research, Cambridge MA"
"231","University of Washington, Seattle WA"
"232","University of Oregon, Eugene, OR"
"233","University of British Columbia, Vancouver B.C., Canada"
"234","George Washington University, Washington DC"
"235","Syracuse University, Syracuse, NY"
"236","UCSF, San Francisco, CA"
"237","Dept. of Biology"
"238"," UCSF, San Francisco CA"
"239","University of Alberta, Edmonton, Canada"
"240","Whitehead Institute for Biomedical Research, Cambridge, MA"
"241","CRBM/CNRS, Montpellier, France"
"242","California State University, Hayward CA"
"243","Duke University, Durham NC"
"244","University of British Columbia, Vancouver, Canada"
"245","University of Goettingen, Goettingen, Germany"
"246","University of Utah, Salt Lake City UT"
"247","College of William & Mary, Williamsburg VA"
"248","Synergen, Boulder CO"
"249","University of Minnesota, Minneapolis MN"
"250","IECB (Bordeaux), Pessac, France"
"251","Mount Desert Island Biological Laboratory, ME "
"252","Texas A&M Health Science Center, Houston TX"
"253","CECAD-University of Colongne, Cologne, Germany"
"254","ICRF Clare Hall, South Mimms, UK"
"255","Colorado State University, Fort Collins CO"
"256","SUNY-UMU, Syracuse NY"
"257","Ohio Wesleyan University, Delaware OH"
"258","McMaster University, Hamilton, Canada"
"259","Erciyes University, Kayseri, Turkey"
"260","University of Minnesota, Minneapolis MN"
"261","LSUMC, Shreveport LA"
"262","Pharmacogenomics Section, Molecular Pharmacology Labs, Departments of Neurology and Psychiatry, Mailman Research Center, McLean Hospital/Harvard Medical School, 115 Mill St. Belmont, MA 02478, USA."
"263","Florida Institute of Technology, Melbourne, FL"
"264","UCLA, Los Angeles CA"
"265","University of the South, Sewanee, TN"
"266","Albert Einstein College of Medicine, Bronx NY"
"267","University of Gottingen, Gottingen, Germany"
"268","Northwestern University, Evanston IL"
"269","University of Glasgow, Glasgow, Scotland"
"270","Institute of Evolutionary Biology, University of Edinburgh, Edinburgh, UK"
"271","University Autonomous of Barcelona, Barcelona, Spain"
"272","University of Pennsylvania, Philadelphia PA"
"273","Pomona College, Claremont, CA"
"274","Institut de Biologie de l'Ecole Normale Superieure, Paris, France"
"275","University of Chicago, Chicago IL"
"276","University College London, London, England"
"277","University of Utah, Salt Lake City UT"
"278","Dartmouth College, Hanover, NH"
"279","University of Minnesota, St. Paul MN"
"280","Hebrew University, Jerusalem, Israel"
"281","Ludwig-Maximilians-University, Munich, Germany"
"282","VU University Amsterdam, Amsterdam, The Netherlands"
"283","Indiana University, Bloomington, IN"
"284","Columbia University, New York NY"
"285","University of Michigan, Ann Arbor MI"
"286","Osaka City Inoversity, Osaka, Japan"
"287","Syracuse University, Syracuse NY"
"288","University of Pittsburgh, Pittsburgh, PA"
"289","Albert Einstein College of Medicine, Bronx NY"
"290","Fairleigh Dickinson University,Department of Biology, 285 Madison Ave, M-SB1-01 Madison, NJ  07940, USA"
"291","Universite Claude Bernard Lyon 1, Lyon, France"
"292","University of Zurich, Zurich, SPAIN"
"293","Elixir Pharmaceuticals, Cambridge MA"
"294","ARS USDA, Beltsville MD"
"295","University of Michigan, Ann Arbor MI"
"296","Georgia State University, Atlanta GA"
"297","New York University, NY"
"298","Harvard  University, Cambridge MA"
"299","Biological Sciences, UCSD, San Diego CA"
"300","University of Cologne, Germany"
"301","University of Alabama, Birmingham AL"
"302","University of Georgia, Athens GA"
"303","University of Oregon, Eugene OR"
"304","Martin-Luther-University Halle-Wittenberg, Halle (Saale), Germany"
"305","Hebrew University of Jerusalem, Jerusalem, Israel"
"306","University of Kansas, Lawrence, KS"
"307","UMBC, Baltimore, MD"
"308","Baylor College of Medicine, Houston TX"
"309","MPI Molecular Genetics, Berlin, Germany"
"310","McGill University, Montreal, Canada"
"311","Harvard Medical School, Boston, MA"
"312","University of Basel, Switzerland"
"313","Central Washington University, Ellensburg WA"
"314","Centre de Recherche de l'Hpital Maisonneuve-Rosemont, Montreal, Canada"
"315","University of Geneva, Geneva, Switzerland"
"316","University of Birmingham, Birmingham, UK"
"317","University of Connecticut, Farmington CT"
"318","Cornell University, Ithaca NY"
"319","McGill University, Montreal, Canada"
"320","Fudan University Institutes of Brain Science, Shanghai, China"
"321","Rutgers University, Piscataway, NJ"
"322","University of South Denmark, Odense, Denmark"
"323","University of Kiel, Kiel, Germany"
"324","NCBI, Bethesda MD"
"325","University at Buffalo"
"326","University of Dundee, Dundee, UK"
"327","Haverford College, Haverford PA"
"328","Tufts University, Boston, MA"
"329","Colorado State University, Fort Collins, CO"
"330","Iowa State University, Ames IA"
"331","Sojo University, Ikeda, Kumamoto-city, Japan"
"332","Universite de Rennes, Rennes, France"
"333","University of California, Davis CA"
"334","Rensselaer Polytechnic Institute, Troy NY"
"335","Institut de Biomedicina, Valencia, Spain"
"336","Molecular Neurobiology Program, The Skirball Institute of Biomolecular Medicine, NYU Medical Center, 540 First Avenue,New York City, NY 10016. USA"
"337","University of Fribourg, Fribourg, Switzerland"
"338","Florida State University, Tallahassee FL"
"339","Skirball Institute of Biomolecular Medicine"
"340","Chinese Academy of Sciences, Beijing, China"
"341","Max-Planck Institute, Martinsried, Germany"
"342","California State University, Fresno CA"
"343","University of Washington, Seattle WA"
"344","Tokyo Women's Medical College, Tokyo, Japan"
"345","University of Toledo, Toledo, OH"
"346","Utrecht University, Utrecht, The Netherlands"
"347","University College, London, UK"
"348","Hubrecht University, Utrecht, The Netherlands"
"349","University of Helsinki, Helsinki, FINLAND"
"350","Emory University, Atlanta GA"
"351","Universiteit Gent, Gent, Belgium"
"352","New York University, New York NY"
"353","IBMC, Porto, Portugal"
"354","Georgian Court University, Lakewood, NJ"
"355","University of Calgary, Calgary, Canada"
"356","TU Braunschweig, Braunscshweig, Germany"
"357","University of Texas, Houston TX"
"358","MPI, Gottingen, Germany"
"359","Lewis and Clark College, Portland OR"
"360","CAMIMER, Sevilla, Spain"
"361","Erasmus University, Rotterdam, The Netherlands"
"362","CRUK Cambridge Institute, Cambridge University, Cambridge, UK"
"363","Gunma University, Gunma, Japan"
"364","New York University, NY"
"365","Buck Institute, Novato CA"
"366","The Jackson Laboratory, Bar Harbor, ME"
"367","Universidad Pablo de Olavide, Seville, Spain"
"368","MHRI, Parkville, Victoria, Australia"
"369","Federation University Australia, Victoria, AUSTRALIA"
"370","University of Virginia, Charlottesville VA"
"371","Stanford University, Stanford CA"
"372","Genentech, South San Fransisco, CA"
"373","GNW, Washington University, St. Louis MO"
"374","University of Gothenburg, Goteborg, Sweden"
"375","Tsinghua University, Beijing, China"
"376","Rutgers University, Piscataway NJ"
"377","European Neuroscience Institute, Goettingen, Germany"
"378","Massachusetts General Hospital, Boston MA"
"379","Grinnell College, Grinnell IA"
"380","National University of Singapore, University Hall, Department of Biochemistry, Lee Kong Chian Wing,21 Lower Kent Ridge Road, 119077, Singapore"
"381","Columbia University, New York NY"
"382","Huazhong University, Wuhan, China"
"383","Zhejiang University, Hangzhou, China"
"384","Kyushu University, Fukuoka, Japan"
"385","Georgia Institute of Technology, Atlanta GA"
"386","IFOM, Milano, Italy"
"387","Cornell University, Ithaca, NY"
"388","University of Utah, Salt Lake City, UT"
"389","Friedrich Miescher Inst., Basel, Switzerland"
"390","LSHTM, London, UK"
"391","SKB Pharmaceuticals, King of Prussia PA"
"392","Huazhong Normal University, Wuhan, China"
"393","University of Rochester, Rochester NY"
"394","ISREC, Lausanne, Switzerland"
"395","Dept  Neuroscience, Brown University, 60 Olive Street, SFH458, Mailbox GL-N, Providence RI 02912.USA."
"396","Indiana University, Bloomington IN"
"397","Erasmus MC, Rotterdam, The Netherlands"
"398","University of Cambridge, Cambridge, UK"
"399","University of Applied Sciences, Nijmegen, The Netherlands"
"400","MPI Biophysical Chemistry, Goettingen, Germany"
"401","Harvard University, Cambridge MA"
"402","The Colorado College, Biology Department, 14 East Cache La Poudre Street, Colorado Springs, CO 80903, USA"
"403","University of Chicago, Chicago, IL"
"404","Binghamton University, Binghamton NY"
"405","Harvard Medical School, Boston MA"
"406","National Tsing Hua University, HsinChu, Taiwan"
"407","Baylor College of Medicine, Houston TX"
"408","Univ of Copenhagen, Copenhagen, Denmark"
"409","University of St Andrews, Fife, Scotland"
"410","University of Miami, Coral Gables FL"
"411","ENS de Lyon, Lyon, France"
"412","University of Houston, Houston TX"
"413","Tokyo Medical and Dental University, Tokyo, Japan"
"414","University of California, Davis CA"
"415","University of Macau, Taipa, Macau"
"416",""
"417","Rosalind Franklin University, North Chicago IL"
"418","Inst. Parasitology, Branisovska, Czech Republic"
"419","University of Illinois, Urbana IL"
"420","Cold Spring Harbor Labs, Cold Spring Harbor NY"
"421","University of Innsbruck, Innsbruck, Austria"
"422","IBMS, Soochow University, Suzhou, China"
"423","Hofstra University, Hempstead NY"
"424","Food & Drug Administration, Laurel MD"
"425","University of Southampton, Southampton, UK"
"426","Canisius College, Buffalo NY"
"427","University of Calgary, Calgary, Canada"
"428","University of Sydney, Sydney, Australia"
"429","Kyushu University, Fukuoka, Japan"
"430","University of Geneva, Geneva, Switzerland"
"431","National Institute of Genetics, Mishima, Japan"
"432","Delaware State University, Dover, DE"
"433","University of Toronto, Toronto, Canada"
"434","University of Massachusetts, Worcester MA"
"435","Setsunan University, Osaka, Japan"
"436",""
"437","Hunan University, Hunan, China"
"438","Humboldt State University, Arcata CA"
"439","Hirosaki University, Aomori, Japan"
"440","HUST, Wuhan, China"
"441","Penn State, University Park PA"
"442","Friedrich Miescher Inst, Basel, Switzerland"
"443","Wellcome Trust Sanger Institute, Cambridge UK"
"444","UMass Medical School, Worcester, MA"
"445","No.7, Science Park Road,"
"446","Perelman School of Medicine at the University of Pennsylvania, PA"
"447",""
"448","University of Glasgow, Scotland"
"449","IBDM, Marseille, France"
"450","Chinese Academy of Sciences, Beijing, China"
"451","Universitaet fuer Bodenkultur, Vienna, Austria"
"452","Queen's University, Kingston ON, Canada"
"453","IDIBELL, Barcelona, Spain"
"454","Centre Paul Broca, INSERM, Paris, France"
"455","NEMAGENETAG Consortium, IMBB, Heraklion, Crete, Greece"
"456","University of the Pacific, Stockton CA"
"457","Friedrich Miescher Institute, Basel, Switzerland"
"458","Institute of Pathology, Basel, Switzerland"
"459","Centre d'Immunologie, Marseille, France"
"460","Catedra de Imunologia, Montevideo, Uruguay"
"461","POSTECH, Pohang, South Korea"
"462","Nagoya University, Nagoya, Japan"
"463","Oklahoma Christian University, Edmond, OK"
"464","UMDNJ, Piscataway NJ"
"465","City University of New York, New York NY"
"466","UTSW Medical Center, Dallas TX"
"467","University of Chicago, Chicago IL"
"468","New England Biolabs, Ipswich MA"
"469","Research Inst,Tatarstan Academy of Sciences,Lab of Experimental Ecology, Daurskaya str., 28, Kazan, Russian Federation, 420087"
"470","University of Maryland, College Park MD"
"471","IMBB, Heraklion, Crete, Greece"
"472","Hebrew University, Jerusalem, Israel"
"473","IGBMC, Strasbourg, France"
"474","Indian Institute of Technology, Kanpur, India"
"475","Cornell University, Ithaca NY"
"476","The Salk Institute, La Jolla CA"
"477","Dept. of Biochemistry and Molecular Biology, Bloomberg School of Public Health, Johns Hopkins University,  615 N. Wolfe Street  Room E8628, Baltimore, MD 21205, USA."
"478","EMBL, Heidelberg, Germany"
"479","University of Illinois at Chicago, Chicagi, IL"
"480","UCLA, Los Angeles CA"
"481","University of Massachusetts, Worcester MA"
"482","University of Cambridge, Cambridge, England"
"483","University of Tennessee, Knoxville TN"
"484","University of Toronto, Toronto, Canada"
"485","National Cancer Center, Goyang, Korea"
"486","Buck Institute, Novato CA"
"487","UC Riverside, Riverside CA"
"488","Hunter College and The Graduate Center,City University of New York, 695 Park Ave. Room 942HN, New York NY 10065, USA"
"489","Charles University in Prague, Czech Republic"
"490","National Inst. of Genetics, Mishima, Japan"
"491","Virginia Commonwealth University, Richmond VA"
"492","Columbia University Medical Center, New York NY"
"493","University of Geneva, Geneva, Switzerland"
"494","CIBIR, Logrono, Spai"
"495","National Taiwan University, Taipei, Taiwan"
"496","McGill University, Montreal, Canada"
"497","Shanghai Institutes of Biological Sciences, Shanghia, China"
"498","niversity of Manitoba, Winnipeg, Canada"
"499","Unoversity of Chicago, Chicago, IL"
"500","Institut Jacques Monod, Paris, France"
"501","UC Santa Cruz, CA"
"502","Princeton University, Princeton NJ"
"503","Columbia University, New York NY"
"504","Southern Utah University, Cedar City, UT"
"505","UC Davis, Davis, CA"
"506","IGDR, Rennes, Fran"
"507","CRBM-CNRS, Montpellier, France"
"508","University of Louisville School of Medicine, Louisville, KY"
"509","HHMI Janelia Farm Research Campus, Ashburn VA"
"510","University of Calgary, Calgary, Alberta, Canada"
"511","University of Natural Resources, Vienna, Austria"
"512","Johns Hopkins University, Baltimore MD"
"513","Johns Hopkins University, Baltimore, MD"
"514","University of Pennsylvania, Philadelphia PA"
"515","Dept. of Pediatrics,Massachusetts General Hospital, Harvard Medical School, 55 Fruit St. GRJ1416. Boston, MA 02114. USA."
"516","Universite Claude Bernard Lyon 1, Lyon, France"
"517","FHCRC, Seattle WA"
"518","University of Helsinki, Helsinki, Finland"
"519","University of Wisconsin, Madison WI"
"520","Central Michigan University, Mount Pleasant MI"
"521","Leibniz Institute for Molecular Pharmacology, Berlin, Germany"
"522","John Carroll Univ., University Heights, OH"
"523","Stanford University, CA"
"524","Jamie University of Wisconsin, Eau Claire WI"
"525","University of Calgary, Calgary, Canada"
"526","University of Toronto, Toronto ON, Canada"
"527","University of Kent, Kent, England"
"528","University of Tokyo, Tokyo, Japan"
"529","Simon Fraser University, Burnaby BC, Canada"
"530","Jinan University, Guangzhou, China"
"531","Jet Propulsion Laboratory, Pasadena CA"
"532","Juniata College, Huntingdon PA"
"533","University College London, England"
"534","Instituto de Biologia Funcional y Genomica CSIC, Salamanca, Spain"
"535","University of Texas, Austin TX"
"536","University of Michigan, Ann Arbor MI"
"537","UC Santa Barbara, Santa Barbara CA"
"538","Biological Sciences, Butler University, 4600 Sunset Avenue, Gallahue Hall 263, Indianapolis, IN 46208, USA"
"539","University of Michigan, Ann Arbor MI"
"540","Dept Biology, Gettysburg College, 300 N. Washington Street, Gettysburg, PA  17325. USA."
"541","Washington State University, Spokane, WA"
"542","Carleton College, Northfield MN"
"543","University of Texas, Houston TX"
"544","Cornell University Medical College, New York NY"
"545","Worcester Polytechnic Institute, Worcester MA"
"546","University of Washington, Seattle WA"
"547","Institute of Biology of Ecole Normale Superieure, Paris, France"
"548","Institut Curie, Paris, France"
"549","University of Gent, Gent, Belgium"
"550","Van Andel Research Institute, Grand Rapids MI"
"551","Fuji ImmunoPharmaceuricals, Lexington MA"
"552","University of Texas, San Antonio TX"
"553","Albert Einstein College of Medicine, Bronx, NY"
"554","UCSF, San Francisco, CA"
"555","Case Western Reserve University, Cleveland OH"
"556","University of Kansas, Lawrence KS"
"557","University of Washington, Seattle, WA"
"558","Universite Claude Bernard - Lyon I, Centre de Genetique Moleculaire et Cellulaire - CNRS UMR 5534,La DOUA - Bat. Gregor Mendel 5e etage, 16 rue Dubois, 69622 Villeurbanne cedex, FRANCE"
"559","University of Dundee, Dundee, Scotland"
"560","Weill Cornell Medical College, Doha, Qatar"
"561","Zhejiang University School of Medicine,Hangzhou, Zhejiang, China"
"562","University of Missouri, Columbia MO"
"563","HKUST, Hong Kong"
"564","University of Wisconsin, Whitewater, WI"
"565","University of California, Davis CA"
"566","Osaka University, Osaka, Japan"
"567","Haverford College, Haverford PA"
"568","University of the Ryukyus, Okinawa, Japan"
"569","OMRF, Oklahoma City OK"
"570","Tokyo Medical & Dental Univ, Tokyo, Japan"
"571","Chubu University, Kasugai, Japan"
"572","DGIST, Daegu, Korea"
"573","Konan University, Kobe, Japan"
"574","University of Massachusetts, Worcester MA"
"575","Hanyang University, Seoul, Korea"
"576","Kitasato University, Tokyo, Japan"
"577","Cornell University, Ithaca NY"
"578","University of Edinburgh, Edinburgh, Scotland"
"579","Florida Atlantic University, Boca Raton FL"
"580","Eastern Mennonite University, Harrisonburg, VA"
"581","Christian-Albrechts-University of Kiel, Kiel, Germany"
"582","NIH, Bethesda MD"
"583","Wyss Institute at Harvard Medical School, Boston MA"
"584","New College of USF, Sarasota FL"
"585","Hubrecht Lab., Utrecht, The Netherlands"
"586","Massachusetts General Hospital, Boston, MA"
"587","Kwantlen Polytechnic University"
"588","UCSF, San Francisco CA"
"589","University of British Columbia, Vancouver B.C."
"590","University of Chicago, IL"
"591","Augustana College, Rock Island IL"
"592","Albany Medical College, Albany NY"
"593","UCSF, San Francisco CA"
"594","Kansas State University, Manhatten KS"
"595","UNH HCGS, Durham NH"
"596","Nagoya University, Nagoya, Japan"
"597","Nagoya University, Aichi, JAPAN"
"598","Charles University, Prague, Czech Republic"
"599","Emory University, Atlanta GA"
"600","University of Rochester, Rochester NY"
"601","East Carolina Univ, Greenville NC"
"602","Kumamoto University, Kumamoto, Japan"
"603","NIBHT, Tsukuba, Japan"
"604","Soka University, Tokyo, Japan"
"605","Manhattanville College, Purchase, NY"
"606","University of Alberta, Edmonton, Alberta"
"607","Howard Hughes Medical Institute, Rockefeller University, New York, NY"
"608","University of San Diego, San Diego CA"
"609","Harvard Medical School, Boston MA"
"610","University of Kansas, Lawrence KS"
"611","Leonard Mayo Clinic, Jacksonville FL, USA"
"612","Agnes Scott College, Decature, GA"
"613","MIT, Cambridge MA"
"614","University of Minnesota, St Paul MN"
"615","LHUP, Lock Haven PA"
"616","Chinese Academy of Science, Kunming, China"
"617","Chinese Academy of Sciences, Beijing, China"
"618","Seoul National University, Seoul, South Korea"
"619","Harvey Mudd College, Claremont CA"
"620","ARS USDA, Beltsville MD"
"621","Uppsala University, Uppsala, Sweden"
"622","Chinese Academy of Sciences, Beijing, China"
"623","Cambria Biosciences, Waltham MA"
"624","University College London, London, UK"
"625","McMaster University, Hamilton, Canada"
"626","IBP, Chinese Academy of Sciences, Beijing, China "
